05-27 15:40:29.441 15673 15695 I TestRunner: started: testAllScenarios(com.example.gemininano.LlmPromptTest)
05-27 15:40:29.452 30890 15700 E DocumentManagerRoleBehavior: There should be exactly one documenter; found 2: matches=[com.android.documentsui, com.android.car.frameworkpackagestubs]
05-27 15:40:29.453 15673 15695 D TEST_REPORT: Loading model...
05-27 15:40:29.500 15500 15501 I AidlLazyServiceRegistrar: Process has 0 (of 1 available) client(s) in use after notification artd has clients: 0
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Trying to shut down the service. No clients in use for any service in process.
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Unregistered all clients and exiting
05-27 15:40:29.504 15673 15695 I native  : I0000 00:00:1779892829.504622   15695 config_utils.cc:483] Enabling vision model caching.
05-27 15:40:29.504 15673 15695 I native  : I0000 00:00:1779892829.504883   15695 llm_engine.cc:2493] has_encoder: false
05-27 15:40:29.504 15673 15695 I native  : I0000 00:00:1779892829.504935   15695 llm_engine.cc:2494] has_adapter: false
05-27 15:40:29.529 15673 15701 I tflite  : Initialized TensorFlow Lite runtime.
05-27 15:40:29.549 15673 15701 W libc    : Access denied finding property "ro.mediatek.platform"
05-27 15:40:29.550 15673 15701 W libc    : Access denied finding property "ro.chipname"
05-27 15:40:29.550 15673 15701 W libc    : Access denied finding property "ro.hardware.chipname"
05-27 15:40:29.592 23307 23443 D WifiClientModeImpl[503881:wlan0]: updateLinkLayerStatsRssiSpeedFrequencyCapabilities rssi=-65 TxLinkspeed=468 freq=5300 RxLinkSpeed=351
05-27 15:40:29.592 23307 23443 D WifiDataStall: tx tput in kbps: 418549
05-27 15:40:29.592 23307 23443 D WifiDataStall: rx tput in kbps: 330433
05-27 15:40:29.593 23307 23443 V WifiConfigManager: Updating scan detail cache freq=5300 BSSID=90:32:4b:d3:f0:6b RSSI=-65 for "90324BD3F068-5G"WPA_PSK
05-27 15:40:29.593 23307 23443 D WifiChannelUtilization:  freq: 5300 onTime: 1622908 busyTime: 591637 onTimeDiff: 699 busyTimeDiff: 94457 utilization: -1 utilization t0: 92
05-27 15:40:29.593 23307 23443 D WifiDataStall:  use default cca Level
05-27 15:40:29.593 23307 23443 D WifiDataStall:  ccaLevel = 15
05-27 15:40:29.593 23307 23443 D WifiDataStall: L2 txTputKbps: 418549, rxTputKbps: 330433, L3 txTputKbps: 0, rxTputKbps: 0, TxTrafficHigh: false, RxTrafficHigh: false, Throughput Sufficient: true
05-27 15:40:29.594 23307 23443 D WifiScoreCard: BSSID update SIGNAL_POLL ID: 704467292 SSID: "90324BD3F068-5G", BSSID: 90:32:4b:d3:f0:6b, MAC: f6:c0:33:a7:e0:0c, IP: /192.168.3.29, Security type: 2, Supplicant state: COMPLETED, Wi-Fi standard: 5, RSSI: -65, Link speed: 468Mbps, Tx Link speed: 468Mbps, Max Supported Tx Link speed: 866Mbps, Rx Link speed: 351Mbps, Max Supported Rx Link speed: 866Mbps, Frequency: 5300MHz, Net ID: 0, Metered hint: false, score: 60, isUsable: true, CarrierMerged: false, SubscriptionId: -1, IsPrimary: 1, Trusted: true, Restricted: false, Ephemeral: false, OEM paid: false, OEM private: false, OSU AP: false, FQDN: <none>, Provider friendly name: <none>, Requesting package name: <none>"90324BD3F068-5G"wpa2-pskMLO Information: , Is TID-To-Link negotiation supported by the AP: false, AP MLD Address: <none>, AP MLO Link Id: <none>, AP MLO Affiliated links: <none>
05-27 15:40:29.594 23307 23443 D WifiScoreCard: txRate: 1 txSpeed: 468
05-27 15:40:29.594 23307 23443 D WifiScoreCard: network update SIGNAL_POLL "90324BD3F068-5G" ID: 910622593 RSSI -65 txSpeed -1
05-27 15:40:29.594 23307 23443 D WifiClientModeImpl[503881:wlan0]:  ClientModeImpl$L2ConnectedState screen=on 1 0 "90324BD3F068-5G" 90:32:4b:d3:f0:6b rssi=-65 f=5300 sc=60 link=468 tx=0.0, 0.0, 0.0 rx=0.0 bcn=457918 [on:93 tx:4 rx:0 period:3048] from screen [on:3029130 period:107558451] score=60
05-27 15:40:29.598 15673 15701 I tflite  : Created TensorFlow Lite XNNPACK delegate for CPU.
05-27 15:40:29.598 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.598 15673 15701 I tflite  : XNNPack weight cache build for '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726' started.
05-27 15:40:29.602 15673 15701 I tflite  : Replacing 1145 out of 1284 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 184 partitions for subgraph 0.
05-27 15:40:29.606 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.607 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.614 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.615 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.617 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.623 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.625 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.626 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.632 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.634 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.635 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.642 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
